N         AVERAGE        STD-DEVIATION       AV: COUNT / N

1         0.0            0.0                 0.0            
2         1.0            0.0                 0.5            
3         1.0            0.0                 0.333333333333 
4         0.0            0.0                 0.0            
5         1.0            0.0                 0.2            
6         2.0            0.0                 0.333333333333 
7         2.0            0.0                 0.285714285714 
8         1.0            0.0                 0.125          
9         3.0            0.0                 0.333333333333 
10        1.0            0.0                 0.1            
11        3.0            0.0                 0.272727272727 
12        2.0            0.0                 0.166666666666 
13        3.0            0.0                 0.230769230769 
14        0.0            0.0                 0.0            
15        1.0            0.0                 0.066666666666 
16        1.0            0.0                 0.0625         
17        3.0            0.0                 0.176470588235 
18        3.0            0.0                 0.166666666666 
19        3.0            0.0                 0.157894736842 
20        3.0            0.0                 0.15           
21        2.0            0.0                 0.095238095238 
22        4.0            0.0                 0.181818181818 
23        3.0            0.0                 0.130434782608 
24        1.0            0.0                 0.041666666666 
25        4.0            0.0                 0.16           
26        3.0            0.0                 0.115384615384 
27        4.0            0.0                 0.148148148148 
28        0.0            0.0                 0.0            
29        5.0            0.0                 0.172413793103 
30        4.0            0.0                 0.133333333333 
31        4.0            0.0                 0.129032258064 
32        3.0            0.0                 0.09375        
33        3.0            0.0                 0.090909090909 
34        4.0            0.0                 0.117647058823 
35        5.0            0.0                 0.142857142857 
36        4.0            0.0                 0.111111111111 
37        4.0            0.0                 0.108108108108 
38        4.0            0.0                 0.105263157894 
39        4.0            0.0                 0.102564102564 
40        5.0            0.0                 0.125          
41        2.0            0.0                 0.048780487804 
42        5.0            0.0                 0.119047619047 
43        5.0            0.0                 0.116279069767 
44        5.0            0.0                 0.113636363636 
45        4.0            0.0                 0.088888888888 
46        4.0            0.0                 0.086956521739 
47        3.0            0.0                 0.063829787234 
48        3.0            0.0                 0.0625         
49        6.0            0.0                 0.122448979591 
50        4.0            0.0                 0.08           
51        4.0            0.0                 0.078431372549 
52        5.0            0.0                 0.096153846153 
53        4.0            0.0                 0.075471698113 
54        3.0            0.0                 0.055555555555 
55        5.0            0.0                 0.090909090909 
56        3.0            0.0                 0.053571428571 
57        4.0            0.0                 0.070175438596 
58        4.0            0.0                 0.068965517241 
59        6.0            0.0                 0.101694915254 
60        4.0            0.0                 0.066666666666 
61        4.0            0.0                 0.065573770491 
62        5.0            0.0                 0.080645161290 
63        3.0            0.0                 0.047619047619 
64        5.0            0.0                 0.078125       
65        5.0            0.0                 0.076923076923 
66        2.0            0.0                 0.030303030303 
67        3.0            0.0                 0.044776119402 
68        5.0            0.0                 0.073529411764 
69        5.0            0.0                 0.072463768115 
70        1.0            0.0                 0.014285714285 
71        5.0            0.0                 0.070422535211 
72        4.0            0.0                 0.055555555555 
73        5.0            0.0                 0.068493150684 
74        5.0            0.0                 0.067567567567 
75        5.0            0.0                 0.066666666666 
76        5.0            0.0                 0.065789473684 
77        5.0            0.0                 0.064935064935 
78        4.0            0.0                 0.051282051282 
79        4.0            0.0                 0.050632911392 
80        4.0            0.0                 0.05           
81        5.0            0.0                 0.061728395061 
82        4.0            0.0                 0.048780487804 
83        5.0            0.0                 0.060240963855 
84        6.0            0.0                 0.071428571428 
85        6.0            0.0                 0.070588235294 
86        5.0            0.0                 0.058139534883 
87        6.0            0.0                 0.068965517241 
88        4.0            0.0                 0.045454545454 
89        6.0            0.0                 0.067415730337 
90        1.0            0.0                 0.011111111111 
91        6.0            0.0                 0.065934065934 
92        4.0            0.0                 0.043478260869 
93        5.0            0.0                 0.053763440860 
94        6.0            0.0                 0.063829787234 
95        2.0            0.0                 0.021052631578 
96        4.0            0.0                 0.041666666666 
97        5.0            0.0                 0.051546391752 
98        4.0            0.0                 0.040816326530 
99        5.0            0.0                 0.050505050505 
100       1.0            0.0                 0.01           
101       5.0            0.0                 0.049504950495 
102       5.0            0.0                 0.049019607843 
103       5.0            0.0                 0.048543689320 
104       6.0            0.0                 0.057692307692 
105       3.0            0.0                 0.028571428571 
106       1.0            0.0                 0.009433962264 
107       7.0            0.0                 0.065420560747 
108       7.0            0.0                 0.064814814814 
109       6.0            0.0                 0.055045871559 
110       3.0            0.0                 0.027272727272 
111       1.0            0.0                 0.009009009009 
112       6.0            0.0                 0.053571428571 
113       6.0            0.0                 0.053097345132 
114       7.0            0.0                 0.061403508771 
115       6.0            0.0                 0.052173913043 
116       5.0            0.0                 0.043103448275 
117       6.0            0.0                 0.051282051282 
118       7.0            0.0                 0.059322033898 
119       5.0            0.0                 0.042016806722 
120       5.0            0.0                 0.041666666666 
121       6.0            0.0                 0.049586776859 
122       5.0            0.0                 0.040983606557 
123       7.0            0.0                 0.056910569105 
124       7.0            0.0                 0.056451612903 
125       6.0            0.0                 0.048          
126       7.0            0.0                 0.055555555555 
127       6.0            0.0                 0.047244094488 
128       7.0            0.0                 0.0546875      
129       7.0            0.0                 0.054263565891 
130       7.0            0.0                 0.053846153846 
131       7.0            0.0                 0.053435114503 
132       7.0            0.0                 0.053030303030 
133       7.0            0.0                 0.052631578947 
134       2.0            0.0                 0.014925373134 
135       5.0            0.0                 0.037037037037 
136       5.0            0.0                 0.036764705882 
137       5.0            0.0                 0.036496350364 
138       6.0            0.0                 0.043478260869 
139       6.0            0.0                 0.043165467625 
140       6.0            0.0                 0.042857142857 
141       6.0            0.0                 0.042553191489 
142       6.0            0.0                 0.042253521126 
143       5.0            0.0                 0.034965034965 
144       1.0            0.0                 0.006944444444 
145       6.0            0.0                 0.041379310344 
146       6.0            0.0                 0.041095890410 
147       5.0            0.0                 0.034013605442 
148       6.0            0.0                 0.040540540540 
149       6.0            0.0                 0.040268456375 
150       6.0            0.0                 0.04           
151       7.0            0.0                 0.046357615894 
152       6.0            0.0                 0.039473684210 
153       7.0            0.0                 0.045751633986 
154       4.0            0.0                 0.025974025974 
155       5.0            0.0                 0.032258064516 
156       5.0            0.0                 0.032051282051 
157       6.0            0.0                 0.038216560509 
158       6.0            0.0                 0.037974683544 
159       1.0            0.0                 0.006289308176 
160       7.0            0.0                 0.04375        
161       7.0            0.0                 0.043478260869 
162       7.0            0.0                 0.043209876543 
163       7.0            0.0                 0.042944785276 
164       4.0            0.0                 0.024390243902 
165       4.0            0.0                 0.024242424242 
166       3.0            0.0                 0.018072289156 
167       4.0            0.0                 0.023952095808 
168       6.0            0.0                 0.035714285714 
169       6.0            0.0                 0.035502958579 
170       8.0            0.0                 0.047058823529 
171       7.0            0.0                 0.040935672514 
172       2.0            0.0                 0.011627906976 
173       7.0            0.0                 0.040462427745 
174       4.0            0.0                 0.022988505747 
175       5.0            0.0                 0.028571428571 
176       4.0            0.0                 0.022727272727 
177       5.0            0.0                 0.028248587570 
178       6.0            0.0                 0.033707865168 
179       5.0            0.0                 0.027932960893 
180       4.0            0.0                 0.022222222222 
181       5.0            0.0                 0.027624309392 
182       4.0            0.0                 0.021978021978 
183       4.0            0.0                 0.021857923497 
184       7.0            0.0                 0.038043478260 
185       6.0            0.0                 0.032432432432 
186       5.0            0.0                 0.026881720430 
187       5.0            0.0                 0.026737967914 
188       7.0            0.0                 0.037234042553 
189       5.0            0.0                 0.026455026455 
190       7.0            0.0                 0.036842105263 
191       7.0            0.0                 0.036649214659 
192       7.0            0.0                 0.036458333333 
193       6.0            0.0                 0.031088082901 
194       4.0            0.0                 0.020618556701 
195       5.0            0.0                 0.025641025641 
196       6.0            0.0                 0.030612244897 
197       2.0            0.0                 0.010152284263 
198       7.0            0.0                 0.035353535353 
199       6.0            0.0                 0.030150753768 
200       7.0            0.0                 0.035          
201       4.0            0.0                 0.019900497512 
202       3.0            0.0                 0.014851485148 
203       5.0            0.0                 0.024630541871 
204       7.0            0.0                 0.034313725490 
205       8.0            0.0                 0.039024390243 
206       6.0            0.0                 0.029126213592 
207       8.0            0.0                 0.038647342995 
208       6.0            0.0                 0.028846153846 
209       7.0            0.0                 0.033492822966 
210       6.0            0.0                 0.028571428571 
211       4.0            0.0                 0.018957345971 
212       6.0            0.0                 0.028301886792 
213       7.0            0.0                 0.032863849765 
214       6.0            0.0                 0.028037383177 
215       8.0            0.0                 0.037209302325 
216       7.0            0.0                 0.032407407407 
217       8.0            0.0                 0.036866359447 
